KOL,ID,LINK,FANS,TYPE
黃大謙,da_chien_huang,https://www.instagram.com/da_chien_huang/,"514,254",實況、美妝時尚、財經、美食、命理占卜、生活風格、穿搭、運動、旅遊
livia,l1vius07,https://www.instagram.com/l1vius07/,"321,332",促購導購、彩妝、保養、日常話題、運動
海兒,seaerr__,https://www.instagram.com/seaerr__/reels/,"133,879",玩具模型、升學、教育與學習、法政社會、穿搭、旅遊
XIN,xin_yeee719,https://www.instagram.com/xin_yeee719/reels/,"147,050",促購導購、美妝時尚、日常話題、穿搭、旅遊
Ivan Chang,wow4ivan,https://www.instagram.com/wow4ivan/reels/,"546,803",美妝時尚、日常話題、穿搭、旅遊
布萊克薛薛,k3okii,https://www.instagram.com/k3okii/reels/,"232,574",流行音樂、台灣旅遊、戲劇、藝術與娛樂、飲料、日常話題、家庭、美食、醫療與健康
吳至晟（27）,ktgn556412,https://www.instagram.com/ktgn556412/reels/,"306,991",日常話題、遊戲
Mita,mitayen,https://www.instagram.com/mitayen/,"117,019",家庭、美食、旅遊
紀牛牛,noloveclub127,https://www.instagram.com/noloveclub127/reels/,"10,361",日常話題
"於沁人",dododo_yu,https://www.instagram.com/dododo_yu/,"47,689",藝術與娛樂、保養、日常話題、美食、醫療與健康、穿搭、旅遊
Cody,cody.0928,https://www.instagram.com/cody.0928/,"37,282",感情、3C家電、日常話題、穿搭
小花,im_lilflower,https://www.instagram.com/im_lilflower/,"23,764",日常話題、美食、旅遊
你的臣妾 威威,weiweibig, https://www.instagram.com/weiweibig/,"63,000",3C家電、促購導購、日常話題、美食、命理占卜、醫療與健康
梅亞瑟,m____sir,https://www.instagram.com/m____sir/,"32,579",科技、日常話題、美食、穿搭
馥,frannie0420,https://www.instagram.com/frannie0420/,"82,056",美妝時尚、日常話題、穿搭、旅遊
Amy,qqamy0720,https://www.instagram.com/qqamy0720/,"28,007",保養、美妝時尚、日常話題、教育與學習、美食
須李,syrinxcat,https://www.instagram.com/syrinxcat/,"41,293",促購導購、婚禮、彩妝、韓國旅遊、藝術與娛樂、日常話題、美食
阿該,plgm_0827,https://www.instagram.com/plgm_0827/,"25,689",Podcast、促購導購、家庭、美食、法政社會
Qdd,qdd_x1,https://www.instagram.com/qdd_x1/,"94,437",彩妝、美妝時尚、日常話題、穿搭、運動、旅遊
Nakaw,_nakaw,https://www.instagram.com/_nakaw/,"61,187",藝術與娛樂、美妝時尚、命理占卜、穿搭
柯柯,fc313,https://www.instagram.com/fc313/,"15,777",藝術與娛樂、美妝時尚
余謝 YuShit,yushit_whonow,https://www.instagram.com/yushit_whonow?igsh=MTZudGlxczZqeWxhcA%3D%3D,"26,000",名人動態、日常話題、家庭
楊楊,raydenyang,https://www.instagram.com/raydenyang/,"78,000",流行音樂、彩妝、藝術與娛樂、家庭、美食
十六,16v0_0v16,https://www.instagram.com/16v0_0v16/,"52,172",促購導購、日常話題、命理占卜、遊戲、穿搭、旅遊
小昕甘,althea_hsingan,https://www.instagram.com/althea_hsingan/,"312,356",保養、日常話題、家庭、命理占卜
沈,yuus2.0,https://www.instagram.com/yuus2.0/reels/,"185,000",藝術與娛樂、日常話題、家庭、美食、命理占卜、穿搭、寵物、旅遊
王惟漢Kevin,wangkaiwen820,https://www.instagram.com/wangkaiwen820/reels/,"210,000",美妝時尚、家庭、法政社會
胡漢典,cheng4fake,https://www.instagram.com/cheng4fake/,"158,751",感情、日常話題、家庭、命理占卜
派翠克,patrickliu0721,https://www.instagram.com/patrickliu0721/,"305,862",藝術與娛樂、日常話題、美食、穿搭、旅遊
佑妮,yoooniii___,https://www.instagram.com/yoooniii___/,"238,000",彩妝、保養、日常話題、美髮、節慶、穿搭
湯TANG ,tang_ful,https://www.instagram.com/tang_ful/,"164,000",彩妝、保養、美妝時尚
林嫻,2.20_l,https://www.instagram.com/2.20_l/,"203,000",彩妝、韓國旅遊、保養、美妝時尚、日常話題、節慶、穿搭
到處都是瘋女人 Apple,apple_misscrazy,https://www.instagram.com/apple_misscrazy/,"182,000",婚禮、感情、藝術與娛樂、美妝時尚、日常話題、命理占卜、法政社會、穿搭、旅遊
紀斯豪,orlando_1218,https://www.instagram.com/orlando_1218/,"253,000",台灣旅遊、日常話題、美食、旅遊
何美,homei0416,https://www.instagram.com/homei0416/?hl=zh-tw,"451,000",Podcast、流行音樂、美妝時尚、日常話題、節慶、音樂
Vicky老絲,itrainyourmom,https://www.instagram.com/itrainyourmom/,"107,000",美妝時尚、日常話題、教育與學習、法政社會、醫療與健康
就是嘟丟笑欸,xiaoawww,https://www.instagram.com/xiaoawww/reels/,"37,000",醫療與健康、旅遊
里唯,vv_levia,https://www.instagram.com/vv_levia/reels/,"332,000",藝術與娛樂、日常話題、美髮
唄姬,xbabyx520,https://www.instagram.com/xbabyx520/reels/,"213,000",甜點、日常話題、教育與學習、命理占卜、節慶、旅遊
Hook,helloiamhook,https://www.instagram.com/helloiamhook/,"594,000",日常話題、家庭、美食、生活風格、穿搭、食譜、運動、旅遊
G蛋布丁,gdan_pudding,https://www.instagram.com/gdan_pudding/reels/,"93,000",韓國旅遊、感情、藝術與娛樂、美妝時尚、日常話題、家庭、遊戲
一粒,illywang,https://www.instagram.com/illywang/reels/,"198,000",科技、3C家電、藝術與娛樂、飲料、日常話題、財經、旅遊
Meg,maygobla,https://www.instagram.com/maygobla/reels/,"202,000",自行車、促購導購、香水、日常話題、美食、美髮、穿搭
Ki笑人生,kiki_theblogger,https://www.instagram.com/kiki_theblogger/,"138,000",Podcast、戲劇、韓國旅遊、藝術與娛樂、美妝時尚、家庭、美食、命理占卜、穿搭、寵物、旅遊
Steve,hungkai.c,https://www.instagram.com/hungkai.c/reels/,"90,000",宗教、營養與保健、日常話題、家庭、美食
許得寪,david_der_der,https://www.instagram.com/david_der_der/reels/,"205,000",健身、日常話題、教育與學習、命理占卜、醫療與健康、運動、交通工具
Wayne,wayne__yeah,https://www.instagram.com/wayne__yeah/,"55,000",日常話題、教育與學習、家庭、美食、運動
Gisele 吉賽兒,giseleeel,https://www.instagram.com/giseleeel/,"101,000",藝術與娛樂、美妝時尚、日常話題、教育與學習、家庭、美髮、節慶、運動
小宮,kcting_____,https://www.instagram.com/kcting_____/,"112,000",保養、日常話題、美食
采翎,cailingliou,https://www.instagram.com/cailingliou/reels/,"94,000",玩具模型、感情、藝術與娛樂、日常話題、教育與學習、運動
李優 URIKO,uriko1219,https://www.instagram.com/uriko1219/reels/,"200,000",彩妝、美食、命理占卜、遊戲
Peachi,itspeachi_,https://www.instagram.com/itspeachi_/reels/,"220,000",職場、促購導購、婚禮、美妝時尚、飲料、日常話題、美食、法政社會、生活風格、穿搭、旅遊
九粒,joliechi,https://www.instagram.com/joliechi/reels/,"247,000",Podcast、藝術與娛樂、日常話題、教育與學習、家庭
江老師,teacherchiang,https://www.instagram.com/teacherchiang/,"245,000",流行音樂、藝術與娛樂、保養、日常話題、教育與學習、美食、音樂、旅遊
老辣妹,lotmainidea,https://www.instagram.com/lotmainidea/,"108,000",促購導購、登山攀岩、日常話題、節慶、旅遊
陳彥婷 Tiffany,thetiffanychen,https://www.instagram.com/thetiffanychen/,"561,000",親子、保養、日常話題、教育與學習、家庭、美食、旅遊
 愛麗 Ellie,ellieciouss,https://www.instagram.com/ellieciouss/,"242,000",保養、日常話題、家庭、美食、醫療與健康、運動、旅遊
51yui,51yui_,https://www.instagram.com/51yui_/,"84,000",感情、保養、家庭、美食、節慶、醫療與健康、旅遊
Zona,zona.ccc,https://www.instagram.com/zona.ccc/reels/,"79,000",手機遊戲、藝術與娛樂、日常話題、美食、旅遊
詹,hsuan09876,https://www.instagram.com/hsuan09876/reels/,"74,000",親子、家庭、美食、節慶、運動、旅遊
Selina,selinalee_0126,https://www.instagram.com/selinalee_0126/,"31,000",台灣旅遊、藝術與娛樂、日常話題、運動、旅遊
Zoe,cinderzoee,https://www.instagram.com/cinderzoee/,"146,000",日常話題、命理占卜、美髮、節慶、旅遊
吳香君,woo_hsiang_chun,https://www.instagram.com/woo_hsiang_chun/reels/,"73,000",甜點
曾貓,myrna.17,https://www.instagram.com/myrna.17/,"53,000",台灣旅遊、保養、日常話題、美食、旅遊
Meg Lu,maygobla,https://www.instagram.com/maygobla/,"198,000",自行車 · 促購導購 · 香水 · 日常話題 · 美食 · 美髮 · 穿搭
荳荳何紫妍,hoelaine1116,https://www.instagram.com/hoelaine1116/,"312,000",彩妝 · 日常話題 · 教育與學習 · 家庭 · 美食 · 節慶
許凱皓,lockingjack,https://www.instagram.com/lockingjack/,"571,000",流行音樂 · 婚禮 · 日常話題 · 命理占卜 · 節慶 · 旅遊
林萱Shiuan,1_shiuan_0,https://www.instagram.com/1_shiuan_0/,"330,000",彩妝、韓國旅遊、保養、日常話題、教育與學習、美食、命理占卜、節慶、運動
梁以辰,yi_chan_liang,https://www.instagram.com/yi_chan_liang/,"431,000",戲劇 · 日常話題 · 美食 · 運動 · 旅遊
Cindy,cindyhhh32,https://www.instagram.com/cindyhhh32/,"183,000",彩妝 · 美妝時尚 · 日常話題 · 醫療與健康 · 穿搭
怜 Rei,rrei_ier,https://www.instagram.com/rrei_ier/,"105,000",彩妝、奢侈品、香水、美妝時尚、美食、穿搭、寵物
GINNY HSIEH,ning3035,https://www.instagram.com/ning3035/,"177,000",彩妝、韓國旅遊、保養、美妝時尚、日常話題、美髮、穿搭、運動、旅遊
米可白,mimi00419,https://www.instagram.com/mimi00419/,"222,000",藝術與娛樂、日常話題、教育與學習、美髮、醫療與健康、寵物
chiao,chiao_w,https://www.instagram.com/chiao_w/,"125,000",促購導購 · 美妝時尚 · 教育與學習 · 家庭 · 美髮 · 節慶 · 運動
羅菱,qop0102qop,https://www.instagram.com/qop0102qop/,"177,000",彩妝 · 藝術與娛樂 · 日常話題 · 家庭 · 節慶 · 旅遊
Alice♥️FAN YU-HSUAN,aliceeecccc,https://www.instagram.com/aliceeecccc/,"395,000",促購導購 · 彩妝 · 奢侈品 · 保養 · 日常話題 · 美食 · 穿搭
Astor,heyheyastor,https://www.instagram.com/heyheyastor/,"141,000",東南亞旅遊、彩妝、保養、美妝時尚、日常話題、美髮、穿搭、旅遊
方涵緯,weiwei4320,https://www.instagram.com/weiwei4320/,"119,000",手機遊戲 · 彩妝 · 藝術與娛樂 · 美妝時尚 · 家庭 · 穿搭 · 寵物
#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,https://www.instagram.com/zoebitalk/,"305,000",台灣旅遊 · 自行車 · 登山攀岩 · 日常話題 · 家庭 · 旅遊
The DoDo Men嘟嘟人,thedodomen,https://www.instagram.com/thedodomen/,"620,000",Podcast · 日常話題 · 美食 · 命理占卜 · 法政社會 · 穿搭 · 旅遊
Ku's dream酷的夢,kudream,https://www.instagram.com/kudream/,"377,000",東南亞旅遊 · 彩妝 · 保養 · 美妝時尚 · 日常話題 · 美髮 · 穿搭 · 旅遊
欸你這週要幹嘛,arielsvlog_816,https://www.instagram.com/arielsvlog_816/,"711,000",Podcast、婚禮、藝術與娛樂、日常話題、家庭、美食、音樂、旅遊
CHELSEA 邱喜,chelseafoodlife,https://www.instagram.com/chelseafoodlife/,"44,000",甜點、飲料、美食、旅遊
高卉蓁 (So⸝⸝ ✿),sonia_0929,https://www.instagram.com/sonia_0929/,"49,000",醫美、彩妝、保養、美妝時尚、穿搭、旅遊
hsun,___hsun____,https://www.instagram.com/___hsun____/,"192,000",藝術與娛樂、美妝時尚、日常話題、生活風格、穿搭、旅遊
Nancy Tsai 🍸,ntsai25,https://www.instagram.com/ntsai25/,"209,000",Podcast、日常話題、美食、遊戲、穿搭、旅遊
咪妃（榴槤姊姊）,juliamisakii,https://www.instagram.com/juliamisakii/,"432,000",Podcast、親子、日常話題、教育與學習、家庭、遊戲
李欣Lee’s planet💫,lees_is_me,https://www.instagram.com/lees_is_me/,"263,000",流行音樂 · 藝術與娛樂 · 日常話題 · 美食 · 節慶 · 音樂
Zora陳思穎,zora_1024,https://www.instagram.com/zora_1024/,"339,000",保養、美妝時尚、日常話題、美食、運動、旅遊
TANG♨️,tang_ful,https://www.instagram.com/tang_ful/,"167,000",彩妝、保養、美妝時尚
內內,nene_shao,https://www.instagram.com/nene_shao/,"97,000",甜點、促購導購、婚禮、飲料、日常話題、美食、旅遊
金魚腦❤️,goldfishbrain17,https://www.instagram.com/goldfishbrain17/,"384,000",電腦遊戲、藝術與娛樂、日常話題、教育與學習、家庭、美食、旅遊
ST曾奕翔,tsengsean,https://www.instagram.com/tsengsean/,"125,000",營養與保健、健身、教育與學習、美食、遊戲、運動、旅遊
PEETA葛格👌🏾,peeta.gege,https://www.instagram.com/peeta.gege/,"269,000",健身、田徑、馬拉松、日常話題、美食、運動、旅遊
伊娃 Eva,evasports_,https://www.instagram.com/evasports_/,"102,000",自行車 · 日常話題 · 運動
邱子芯Mia💋,mia9348,https://www.instagram.com/mia9348/,"213,000",感情、藝術與娛樂、日常話題、美食、命理占卜、穿搭
EVALIN,evalin555,https://www.instagram.com/evalin555/,"57,000",氣候和環境 · 促購導購 · 奢侈品 · 日常話題 · 教育與學習 · 財經 · 美髮 · 穿搭
林甜蜜,tanmilin,https://www.instagram.com/tanmilin/,"18,000",舞蹈 · 保養 · 日常話題 · 家庭 · 美食 · 寵物 · 旅遊
小象愛出門,elephant_gogo,https://www.instagram.com/elephant_gogo/,"184,000",台灣旅遊 · 婚禮 · 日常話題 · 美食 · 節慶 · 法政社會 · 旅遊
好棒Bump,bumpbro,https://www.instagram.com/bumpbro/,"203,000",房地產 · 日常話題 · 財經
張小筑 YaChu｜生活風格創作者,chuyo622,https://www.instagram.com/chuyo622/,"303,000",台灣旅遊 · 藝術與娛樂 · 日常話題 · 美食 · 命理占卜 · 旅遊
洪維尼,ethan_hung3513,https://www.instagram.com/ethan_hung3513/,"142,000",自行車 · 日常話題 · 命理占卜 · 攝影 · 運動 · 旅遊
王鵬WangPeng,mrcheu1019,https://www.instagram.com/mrcheu1019/,"9,247",電腦遊戲 · 藝術與娛樂 · 日常話題 · 攝影
許家鳳,run_fong0526,https://www.instagram.com/run_fong0526/,"1,398",田徑、馬拉松 · 登山攀岩 · 旅遊
Chris克利周. Chou Chih Ying,ch.ineffable,https://www.instagram.com/ch.ineffable/,"115,000",美妝時尚、飲料、美食、旅遊
宛庭 ωαитιиg🌷,wan_ting_tsai_,https://www.instagram.com/wan_ting_tsai_/,"172,000",彩妝 · 藝術與娛樂 · 日常話題 · 節慶
Grace天秤空姐,gracechiang105,https://www.instagram.com/gracechiang105/,"24,000",彩妝、教育與學習、美食、生活風格、穿搭
Clio كوليو クリオ,clio1008,https://www.instagram.com/clio1008/,"112,000",台灣旅遊、促購導購、日常話題、美食、穿搭、攝影、旅遊
水市太太的親子日常（mori與小海）,mori.s0909,https://www.instagram.com/mori.s0909/,"1,343",母嬰、教育與學習、美食、節慶
𝓴𝓮𝓮𝓵𝔂,dayxcx_n,https://www.instagram.com/dayxcx_n/,"1,101",日常話題、美食、命理占卜
◡̈易賢🍒,yi_hsien_1123,https://www.instagram.com/yi_hsien_1123/,"2,616",台灣旅遊、飲料、攝影
黃品瑄🍀 |員林韓式皮膚管理 |品品美學,pinpin_0522,https://www.instagram.com/pinpin_0522/,"6,089",飲料、日常話題、命理占卜
康孟錚,annie19880521,https://www.instagram.com/annie19880521/,"8,173",藝術與娛樂、教育與學習、家庭、命理占卜
Gemma Chang,gemma_chang,https://www.instagram.com/gemma_chang/,"20,000",藝術與娛樂、日常話題、音樂、運動
Joanna wang,alferdpacker69,https://www.instagram.com/alferdpacker69/,"30,000",日常話題、節慶、音樂、旅遊
劉明峰,rockerivanliu,https://www.instagram.com/rockerivanliu/,"3,607",日常話題、節慶
Paula,pigcatmama,https://www.instagram.com/pigcatmama/,"41,000",日常話題、教育與學習、家庭、美食、節慶、醫療與健康、寵物
邦維Shawn,shawn328_,https://www.instagram.com/shawn328_/,"7,613",美妝時尚、日常話題、攝影、交通工具、旅遊
Kior Cheng,reformerz_kior,https://www.instagram.com/reformerz_kior/,"2,187",日常話題、攝影
白 (WHITE),kusowhite,https://www.instagram.com/kusowhite/,922,電影、節慶
𝓜𝓪𝓰𝓻𝓪𝓽𝓮瑪格 👠,brightlife_magrate,https://www.instagram.com/brightlife_magrate/,"2,586",電影、藝術與娛樂、日常話題、教育與學習、家庭、命理占卜、旅遊
yunny 🌼 유니,x.yunny.x,https://www.instagram.com/x.yunny.x/,"137,000",促購導購、彩妝、保養、美食、穿搭
羅清駿 Ching Chun Lo｜跑步·登高•垂直馬拉松｜,l.chingchun,https://www.instagram.com/l.chingchun/,"49,000",田徑、馬拉松、運動
一輪🏊🏽‍♀️🚴🏾‍♀️🏃🏽‍♀️🤿⛰,elun1020,https://www.instagram.com/elun1020/,"84,000",自行車、親子、母嬰、醫療與健康、運動、旅遊
Andrew the Great,ellington20,https://www.instagram.com/ellington20/,"7,453",藝術與娛樂、飲料、遊戲、音樂、旅遊
Yuka ෆ⃛,yuka_wang_,https://www.instagram.com/yuka_wang_/,"57,000",台灣旅遊、彩妝、感情、美妝時尚、日常話題、家庭、穿搭、旅遊
Jessica 潔西卡（西卡）,diamond1018,https://www.instagram.com/diamond1018/,"53,000",親子、日常話題、教育與學習、家庭、遊戲、節慶、醫療與健康
安安🖤,ooxxq60297ya,https://www.instagram.com/ooxxq60297ya/,"539,000",親子、彩妝、保養、美妝時尚、穿搭
,,,,
,,,,
,,,,
,,,,
note: sheet1 中的 A24 & A40 & A47 & A61 & A62 太 vague 找不到 ig 所以直接刪掉了,,,,